R;Z;BFS_Sag;CRD;Slope;BFS_Slope;Slope_Delta;One_fiber_coverage;delta_z1
505;-11.6153 ;-11.6059 ;-0.0094 ;-0.0476 ;-0.0460 ;0.0016 ;#NOMBRE!;#NOMBRE!
506;-11.6629 ;-11.6519 ;-0.0110 ;-0.0477 ;-0.0461 ;0.0016 ;#NOMBRE!;#NOMBRE!
507;-11.7107 ;-11.6980 ;-0.0126 ;-0.0478 ;-0.0462 ;0.0016 ;#NOMBRE!;#NOMBRE!
508;-11.7585 ;-11.7443 ;-0.0142 ;-0.0479 ;-0.0463 ;0.0016 ;#NOMBRE!;#NOMBRE!
509;-11.8064 ;-11.7906 ;-0.0159 ;-0.0480 ;-0.0464 ;0.0016 ;#NOMBRE!;#NOMBRE!
510;-11.8545 ;-11.8370 ;-0.0175 ;-0.0481 ;-0.0464 ;0.0017 ;#NOMBRE!;#NOMBRE!
511;-11.9026 ;-11.8835 ;-0.0192 ;-0.0482 ;-0.0465 ;0.0017 ;#NOMBRE!;#NOMBRE!
512;-11.9509 ;-11.9300 ;-0.0209 ;-0.0483 ;-0.0466 ;0.0017 ;#NOMBRE!;#NOMBRE!
513;-11.9993 ;-11.9767 ;-0.0226 ;-0.0484 ;-0.0467 ;0.0017 ;#NOMBRE!;#NOMBRE!
514;-12.0478 ;-12.0235 ;-0.0243 ;-0.0485 ;-0.0468 ;0.0017 ;#NOMBRE!;#NOMBRE!
515;-12.0963 ;-12.0703 ;-0.0260 ;-0.0486 ;-0.0469 ;0.0017 ;#NOMBRE!;#NOMBRE!
516;-12.1450 ;-12.1173 ;-0.0278 ;-0.0487 ;-0.0470 ;0.0018 ;#NOMBRE!;#NOMBRE!
517;-12.1938 ;-12.1643 ;-0.0295 ;-0.0489 ;-0.0471 ;0.0018 ;#NOMBRE!;#NOMBRE!
518;-12.2427 ;-12.2114 ;-0.0313 ;-0.0490 ;-0.0472 ;0.0018 ;#NOMBRE!;#NOMBRE!
519;-12.2917 ;-12.2587 ;-0.0331 ;-0.0491 ;-0.0473 ;0.0018 ;#NOMBRE!;#NOMBRE!
520;-12.3409 ;-12.3060 ;-0.0349 ;-0.0492 ;-0.0474 ;0.0018 ;#NOMBRE!;#NOMBRE!
521;-12.3901 ;-12.3534 ;-0.0367 ;-0.0493 ;-0.0474 ;0.0018 ;#NOMBRE!;#NOMBRE!
522;-12.4394 ;-12.4009 ;-0.0386 ;-0.0494 ;-0.0475 ;0.0019 ;#NOMBRE!;#NOMBRE!
523;-12.4889 ;-12.4485 ;-0.0404 ;-0.0495 ;-0.0476 ;0.0019 ;#NOMBRE!;#NOMBRE!
524;-12.5384 ;-12.4961 ;-0.0423 ;-0.0496 ;-0.0477 ;0.0019 ;#NOMBRE!;#NOMBRE!
525;-12.5881 ;-12.5439 ;-0.0442 ;-0.0497 ;-0.0478 ;0.0019 ;#NOMBRE!;#NOMBRE!
526;-12.6379 ;-12.5918 ;-0.0461 ;-0.0498 ;-0.0479 ;0.0019 ;#NOMBRE!;#NOMBRE!
527;-12.6877 ;-12.6397 ;-0.0480 ;-0.0499 ;-0.0480 ;0.0019 ;#NOMBRE!;#NOMBRE!
528;-12.7377 ;-12.6877 ;-0.0500 ;-0.0500 ;-0.0481 ;0.0020 ;#NOMBRE!;#NOMBRE!
529;-12.7878 ;-12.7359 ;-0.0519 ;-0.0501 ;-0.0482 ;0.0020 ;#NOMBRE!;#NOMBRE!
530;-12.8380 ;-12.7841 ;-0.0539 ;-0.0503 ;-0.0483 ;0.0020 ;#NOMBRE!;#NOMBRE!
531;-12.8883 ;-12.8324 ;-0.0559 ;-0.0504 ;-0.0484 ;0.0020 ;#NOMBRE!;#NOMBRE!
532;-12.9387 ;-12.8808 ;-0.0579 ;-0.0505 ;-0.0485 ;0.0020 ;#NOMBRE!;#NOMBRE!
533;-12.9893 ;-12.9293 ;-0.0600 ;-0.0506 ;-0.0485 ;0.0020 ;#NOMBRE!;#NOMBRE!
534;-13.0399 ;-12.9779 ;-0.0620 ;-0.0507 ;-0.0486 ;0.0021 ;#NOMBRE!;#NOMBRE!
535;-13.0907 ;-13.0266 ;-0.0641 ;-0.0508 ;-0.0487 ;0.0021 ;#NOMBRE!;#NOMBRE!
536;-13.1415 ;-13.0754 ;-0.0661 ;-0.0509 ;-0.0488 ;0.0021 ;#NOMBRE!;#NOMBRE!
537;-13.1925 ;-13.1242 ;-0.0682 ;-0.0510 ;-0.0489 ;0.0021 ;#NOMBRE!;#NOMBRE!
538;-13.2435 ;-13.1732 ;-0.0704 ;-0.0511 ;-0.0490 ;0.0021 ;#NOMBRE!;#NOMBRE!
539;-13.2947 ;-13.2222 ;-0.0725 ;-0.0512 ;-0.0491 ;0.0021 ;#NOMBRE!;#NOMBRE!
540;-13.3460 ;-13.2714 ;-0.0746 ;-0.0513 ;-0.0492 ;0.0022 ;#NOMBRE!;#NOMBRE!
541;-13.3974 ;-13.3206 ;-0.0768 ;-0.0515 ;-0.0493 ;0.0022 ;#NOMBRE!;#NOMBRE!
542;-13.4489 ;-13.3699 ;-0.0790 ;-0.0516 ;-0.0494 ;0.0022 ;#NOMBRE!;#NOMBRE!
543;-13.5005 ;-13.4193 ;-0.0812 ;-0.0517 ;-0.0495 ;0.0022 ;#NOMBRE!;#NOMBRE!
544;-13.5523 ;-13.4688 ;-0.0834 ;-0.0518 ;-0.0495 ;0.0022 ;#NOMBRE!;#NOMBRE!
545;-13.6041 ;-13.5184 ;-0.0857 ;-0.0519 ;-0.0496 ;0.0023 ;#NOMBRE!;#NOMBRE!
546;-13.6561 ;-13.5681 ;-0.0879 ;-0.0520 ;-0.0497 ;0.0023 ;#NOMBRE!;#NOMBRE!
547;-13.70811;-13.61788;-0.09022742;-0.05211175;-0.04982203;0.002289716;#NOMBRE!;#NOMBRE!
548;-13.76027;-13.66775;-0.09252641;-0.05222162;-0.04991334;0.002308273;#NOMBRE!;#NOMBRE!
549;-13.81255;-13.71771;-0.094844;-0.05233156;-0.05000465;0.002326908;#NOMBRE!;#NOMBRE!
550;-13.86494;-13.76776;-0.09718025;-0.05244159;-0.05009596;0.002345623;#NOMBRE!;#NOMBRE!
551;-13.91743;-13.8179;-0.09953527;-0.05255169;-0.05018728;0.002364416;#NOMBRE!;#NOMBRE!
552;-13.97004;-13.86813;-0.1019091;-0.05266188;-0.05027859;0.002383288;#NOMBRE!;#NOMBRE!
553;-14.02276;-13.91846;-0.1043019;-0.05277215;-0.05036991;0.00240224;#NOMBRE!;#NOMBRE!
554;-14.07559;-13.96887;-0.1067136;-0.05288249;-0.05046122;0.002421271;#NOMBRE!;#NOMBRE!
555;-14.12852;-14.01938;-0.1091444;-0.05299292;-0.05055254;0.002440382;#NOMBRE!;#NOMBRE!
556;-14.18157;-14.06998;-0.1115944;-0.05310343;-0.05064386;0.002459573;#NOMBRE!;#NOMBRE!
557;-14.23473;-14.12067;-0.1140636;-0.05321402;-0.05073518;0.002478843;#NOMBRE!;#NOMBRE!
558;-14.288;-14.17145;-0.1165521;-0.0533247;-0.0508265;0.002498194;#NOMBRE!;#NOMBRE!
559;-14.34138;-14.22232;-0.11906;-0.05343545;-0.05091782;0.002517624;#NOMBRE!;#NOMBRE!
560;-14.39487;-14.27328;-0.1215874;-0.05354628;-0.05100915;0.002537135;#NOMBRE!;#NOMBRE!
561;-14.44847;-14.32434;-0.1241343;-0.0536572;-0.05110047;0.002556727;#NOMBRE!;#NOMBRE!
562;-14.50218;-14.37548;-0.1267009;-0.0537682;-0.0511918;0.002576399;#NOMBRE!;#NOMBRE!
