#Listing of surface sag

#File : D:\Beast\Lampton\LamptonChiefRayADC_3_newAngles_240_ADC25_FP50_f36_1cr_4con.zmx
#Title: 
#Date : 10/16/2023
#Configuration 1 of 3

#Units are Millimeters.
#Slope units are dimensionless.
#Clear Semi-Diameter of surface 22:   4.084421E+02.
#Algorithm assumes +z goes from air to glass.

#Method: Minimum Volume Removal
#Best Fit Sphere Radius        : 	 -1.277364E+04
#Best Fit Sphere Vertex Offset : 	 -4.512461E-02
#Maximum Depth to Remove       : 	  4.512461E-02
#RMS of Depth to Remove        : 	  1.879436E-02
#Maximum Slope Deviation       : 	  2.902025E-03
#RMS Slope Deviation           : 	  6.594154E-04
#Volume To Remove              : 	  7.887209E+03	 cubic Millimeters

       Y-coord 	        Sag 	        BFS Sag 	        Deviation 	        Remove 	              Slope 	        BFS Slope 	       Slope Delta
  1.100000E+02 	  -5.067834E-01 	  -4.736406E-01 	  -3.314282E-02 	   1.198179E-02 	  -8.988403E-03 	  -8.610207E-03 	   3.781961E-04
  1.110000E+02 	  -5.158106E-01 	  -4.822915E-01 	  -3.351908E-02 	   1.160553E-02 	  -9.062949E-03 	  -8.688502E-03 	   3.744470E-04
  1.120000E+02 	  -5.249123E-01 	  -4.910208E-01 	  -3.389151E-02 	   1.123309E-02 	  -9.137357E-03 	  -8.766798E-03 	   3.705594E-04
  1.130000E+02 	  -5.340883E-01 	  -4.998283E-01 	  -3.425999E-02 	   1.086462E-02 	  -9.211627E-03 	  -8.845093E-03 	   3.665344E-04
  1.140000E+02 	  -5.433385E-01 	  -5.087142E-01 	  -3.462437E-02 	   1.050024E-02 	  -9.285762E-03 	  -8.923388E-03 	   3.623732E-04
  1.150000E+02 	  -5.526628E-01 	  -5.176783E-01 	  -3.498452E-02 	   1.014009E-02 	  -9.359761E-03 	  -9.001684E-03 	   3.580770E-04
  1.160000E+02 	  -5.620610E-01 	  -5.267207E-01 	  -3.534030E-02 	   9.784308E-03 	  -9.433627E-03 	  -9.079980E-03 	   3.536471E-04
  1.170000E+02 	  -5.715330E-01 	  -5.358414E-01 	  -3.569158E-02 	   9.433024E-03 	  -9.507361E-03 	  -9.158276E-03 	   3.490848E-04
  1.180000E+02 	  -5.810787E-01 	  -5.450405E-01 	  -3.603824E-02 	   9.086371E-03 	  -9.580964E-03 	  -9.236572E-03 	   3.443915E-04
  1.190000E+02 	  -5.906979E-01 	  -5.543178E-01 	  -3.638013E-02 	   8.744478E-03 	  -9.654437E-03 	  -9.314868E-03 	   3.395686E-04
  1.200000E+02 	  -6.003905E-01 	  -5.636734E-01 	  -3.671713E-02 	   8.407476E-03 	  -9.727783E-03 	  -9.393165E-03 	   3.346177E-04
  1.210000E+02 	  -6.101564E-01 	  -5.731073E-01 	  -3.704912E-02 	   8.075490E-03 	  -9.801002E-03 	  -9.471462E-03 	   3.295403E-04
  1.220000E+02 	  -6.199955E-01 	  -5.826195E-01 	  -3.737596E-02 	   7.748647E-03 	  -9.874097E-03 	  -9.549759E-03 	   3.243379E-04
  1.230000E+02 	  -6.299076E-01 	  -5.922100E-01 	  -3.769754E-02 	   7.427070E-03 	  -9.947068E-03 	  -9.628056E-03 	   3.190123E-04
