robot_number;x [mm];y [mm];geometry
23146;259.6923048454133;418.51373654841063;POINT (259.6923048454133 418.51373654841063)
23147;259.6923048454133;429.25173654841063;POINT (259.6923048454133 429.25173654841063)
23148;259.6923048454133;439.98973654841063;POINT (259.6923048454133 439.98973654841063)
23149;259.6923048611119;-410.6937666053723;POINT (259.6923048611119 -410.6937666053723)
23150;259.6923048611119;-399.9557666053723;POINT (259.6923048611119 -399.9557666053723)
23151;259.6923048611119;-389.2177666053723;POINT (259.6923048611119 -389.2177666053723)
23152;259.6923048611119;-78.61077736664382;POINT (259.6923048611119 -78.61077736664382)
23153;259.6923048611119;-67.87277736664382;POINT (259.6923048611119 -67.87277736664382)
23154;259.6923048611119;-57.13477736664382;POINT (259.6923048611119 -57.13477736664382)
23155;259.6923048611119;253.47221187208467;POINT (259.6923048611119 253.47221187208467)
23156;259.6923048611119;264.2102118720847;POINT (259.6923048611119 264.2102118720847)
23157;259.6923048611119;274.9482118720847;POINT (259.6923048611119 274.9482118720847)
23158;260.49422860830754;-513.7724345520646;POINT (260.49422860830754 -513.7724345520646)
23159;260.49422860830754;-181.68944531333602;POINT (260.49422860830754 -181.68944531333602)
23160;260.49422860830754;150.39354392539246;POINT (260.49422860830754 150.39354392539246)
23161;260.49422860830754;482.47653316412095;POINT (260.49422860830754 482.47653316412095)
23162;260.4942286083076;-535.2484345520646;POINT (260.4942286083076 -535.2484345520646)
23163;260.4942286083076;-524.5104345520646;POINT (260.4942286083076 -524.5104345520646)
23164;260.4942286083076;-503.0344345520646;POINT (260.4942286083076 -503.0344345520646)
23165;260.4942286083076;-203.16544531333602;POINT (260.4942286083076 -203.16544531333602)
23166;260.4942286083076;-192.42744531333602;POINT (260.4942286083076 -192.42744531333602)
23167;260.4942286083076;-170.95144531333602;POINT (260.4942286083076 -170.95144531333602)
23168;260.4942286083076;128.91754392539247;POINT (260.4942286083076 128.91754392539247)
23169;260.4942286083076;139.65554392539246;POINT (260.4942286083076 139.65554392539246)
23170;260.4942286083076;161.13154392539246;POINT (260.4942286083076 161.13154392539246)
23171;260.4942286083076;461.00053316412095;POINT (260.4942286083076 461.00053316412095)
23172;260.4942286083076;471.73853316412095;POINT (260.4942286083076 471.73853316412095)
23173;260.4942286083076;493.21453316412095;POINT (260.4942286083076 493.21453316412095)
23174;260.49422863405994;-493.21448385809276;POINT (260.49422863405994 -493.21448385809276)
23175;260.49422863405994;-482.4764838580927;POINT (260.49422863405994 -482.4764838580927)
23176;260.49422863405994;-471.73848385809276;POINT (260.49422863405994 -471.73848385809276)
23177;260.49422863405994;-461.00048385809276;POINT (260.49422863405994 -461.00048385809276)
23178;260.49422863405994;-161.13149461936425;POINT (260.49422863405994 -161.13149461936425)
23179;260.49422863405994;-150.39349461936425;POINT (260.49422863405994 -150.39349461936425)
23180;260.49422863405994;-139.65549461936425;POINT (260.49422863405994 -139.65549461936425)
23181;260.49422863405994;-128.91749461936425;POINT (260.49422863405994 -128.91749461936425)
23182;260.49422863405994;170.95149461936424;POINT (260.49422863405994 170.95149461936424)
23183;260.49422863405994;181.68949461936424;POINT (260.49422863405994 181.68949461936424)
23184;260.49422863405994;192.42749461936424;POINT (260.49422863405994 192.42749461936424)
23185;260.49422863405994;203.16549461936424;POINT (260.49422863405994 203.16549461936424)
23186;260.49422863405994;503.0344838580927;POINT (260.49422863405994 503.0344838580927)
23187;260.49422863405994;513.7724838580928;POINT (260.49422863405994 513.7724838580928)
23188;260.49422863405994;524.5104838580927;POINT (260.49422863405994 524.5104838580927)
23189;260.49422863405994;535.2484838580928;POINT (260.49422863405994 535.2484838580928)
23190;262.22627941587643;-369.20693993270027;POINT (262.22627941587643 -369.20693993270027)
23191;262.22627941587643;-358.46893993270027;POINT (262.22627941587643 -358.46893993270027)
23192;262.22627941587643;-347.73093993270027;POINT (262.22627941587643 -347.73093993270027)
23193;262.22627941587643;-336.99293993270027;POINT (262.22627941587643 -336.99293993270027)
23194;262.22627941587643;-37.12395069397178;POINT (262.22627941587643 -37.12395069397178)
23195;262.22627941587643;-26.385950693971786;POINT (262.22627941587643 -26.385950693971786)
23196;262.22627941587643;-15.647950693971787;POINT (262.22627941587643 -15.647950693971787)
23197;262.22627941587643;-4.909950693971787;POINT (262.22627941587643 -4.909950693971787)
23198;262.22627941587643;294.9590385447567;POINT (262.22627941587643 294.9590385447567)
23199;262.22627941587643;305.6970385447567;POINT (262.22627941587643 305.6970385447567)
23200;262.22627941587643;316.4350385447567;POINT (262.22627941587643 316.4350385447567)
23201;262.22627941587643;327.1730385447567;POINT (262.22627941587643 327.1730385447567)
23202;262.22627944162883;-327.1729892387285;POINT (262.22627944162883 -327.1729892387285)
23203;262.22627944162883;-316.4349892387285;POINT (262.22627944162883 -316.4349892387285)
